fecha,plan,sede,dpto,ciudad,vendedor,cantidad
20120726,321,4,3,1,5351,1
20120727,321,4,3,1,5361,1
20120725,321,4,3,1,1371,1
20120724,321,4,1,61,5365,1
20120730,321,4,3,1,5311,1
20120731,321,4,3,1,5330,1
20120801,321,4,1,61,5365,1
20120810,321,4,3,1,302,1
20120812,321,4,3,1,4328,2
20120809,321,4,3,2,1371,1
20120810,321,4,3,1,5361,1
20120806,321,4,3,1,4328,1
20120810,321,4,1,61,5378,1
20120809,321,4,3,1,5388,1
20120814,321,4,3,1,3476,1
20120815,321,4,3,2,5388,1
20120815,321,4,3,1,5330,1
20120822,321,4,3,1,5365,1
20120823,321,4,6,3,5311,2
20120824,321,4,1,74,5382,1
20120831,321,4,3,1,5351,1
20120827,321,4,3,1,1371,1
20120901,321,4,3,1,5392,1
20120827,321,4,3,1,5391,1
20120902,321,4,3,1,5347,1
20120905,321,4,3,1,3476,1
20120906,321,4,3,1,5360,2
20120905,321,4,3,1,5360,2
20120910,321,4,3,1,3346,1
20120914,321,4,3,1,5347,1
20120913,321,4,3,1,5391,1
20120915,321,4,3,2,4328,1
20120910,321,4,3,2,5311,1
20120914,321,4,3,1,3476,2
20120919,321,4,3,1,4328,1
20120928,321,4,3,1,4328,2
20120926,321,4,3,1,5360,2
20120926,321,4,3,1,5402,2
20121002,321,4,3,1,3476,2
20121005,321,4,3,1,3346,2
20121003,321,4,1,74,1371,1
20121001,321,4,3,2,3476,1
20121003,321,4,3,2,1371,1
20121009,321,4,3,1,5347,2
20121010,321,4,3,1,3476,2
20121013,321,4,3,2,5347,1
20121013,321,4,3,1,1371,1
20121014,321,4,3,1,5398,1
20121008,321,4,3,1,5410,2
20121017,321,4,3,2,5410,1
20121022,321,4,3,1,3346,1
20121101,321,4,3,2,4328,1
20121101,321,4,3,1,4328,1
20121030,321,4,3,2,5409,1
20121030,321,4,3,2,5311,2
20121030,321,4,3,2,5412,1
20121103,321,4,3,2,5412,1
20121109,321,4,3,2,3476,1
20121107,321,4,3,2,3346,1
20121109,321,4,3,2,1371,7
20121107,321,4,3,2,1371,1
20121108,321,4,3,2,4328,2
20121106,321,4,3,2,5412,1
20121115,321,4,3,2,5351,2
20121114,321,4,3,5,4328,2
20121110,321,4,3,5,3476,1
20121119,321,4,3,2,5311,1
20121122,321,4,3,5,5347,1
20121129,321,4,3,2,5351,1
20121130,321,4,3,1,5387,1
20121130,321,4,3,1,5347,1
20121128,321,4,3,1,5387,1
20120226,143,4,3,1,5310,2
20120223,143,4,3,1,5310,1
20120316,143,4,3,1,5327,1
20120319,143,4,3,2,5327,1
20120412,143,4,3,2,5327,1
20120426,143,4,1,74,3725,5
20120509,143,4,1,74,3725,1
20120531,143,4,1,74,3476,1
20120619,143,4,3,2,3725,1
20120623,143,4,1,80,5358,1
20120124,144,4,3,2,3476,1
20120305,144,4,3,2,5329,1
20120320,144,4,3,2,5332,2
20120323,144,4,3,2,5327,1
20120321,144,4,3,1,5329,1
20120405,144,4,3,1,5327,1
20120601,144,4,1,74,3725,2
20120530,144,4,1,80,3725,1
20120608,144,4,3,2,3725,1
20120110,321,4,3,1,3346,1
20120112,321,4,3,2,4583,2
20120112,321,4,3,2,3346,1
20120111,321,4,3,2,1371,1
20120117,321,4,3,2,4577,2
20120121,321,4,3,2,4582,2
20120123,321,4,1,24,4328,1
20120120,321,4,3,2,4583,1
20120127,321,4,3,2,4589,1
20120126,321,4,3,2,4596,1
20120125,321,4,3,2,5316,1
20120201,321,4,3,1,4582,3
20120201,321,4,3,1,4589,2
20120202,321,4,3,1,4573,1
20120203,321,4,3,1,5317,1
20120204,321,4,3,1,5316,1
20120203,321,4,3,1,5315,1
20120204,321,4,3,1,5315,1
20120204,321,4,3,1,5311,1
20120204,321,4,3,1,1371,2
20120210,321,4,3,2,4328,2
20120211,321,4,3,1,1371,2
20120209,321,4,3,1,5311,1
20120216,321,4,3,1,4328,1
20120219,321,4,3,1,4577,1
20120214,321,4,3,1,4577,1
20120222,321,4,3,1,5331,1
20120222,321,4,3,1,4582,1
20120223,321,4,3,2,5311,1
20120228,321,4,3,3,5311,1
20120301,321,4,3,1,5325,3
20120303,321,4,3,1,4539,2
20120301,321,4,3,1,4582,1
20120305,321,4,3,3,4583,1
20120307,321,4,3,1,1371,2
20120307,321,4,3,1,5315,1
20120309,321,4,3,1,5325,1
20120309,321,4,3,1,4594,1
20120314,321,4,3,1,3346,1
20120314,321,4,3,1,4583,3
20120323,321,4,3,1,3346,2
20120320,321,4,3,1,5331,1
20120323,321,4,3,1,5311,3
20120323,321,4,3,2,1371,1
20120409,321,4,3,2,302,1
20120410,321,4,3,3,3346,2
20120412,321,4,3,3,3346,1
20120413,321,4,3,1,5340,1
20120411,321,4,3,1,1371,2
20120417,321,4,3,1,302,2
