depto,ciudad,fecha,,vendedor,cantidad
1,67,20150706,6,1066,1
1,67,20160225,6,1888,1
1,67,20160112,5,1243,1
1,67,20160215,6,1783,1
1,67,20160114,5,4042,1
1,67,20160418,5,1916,1
1,67,20151119,6,1736,2
1,67,20160808,6,4003,1
1,67,20161104,5,4051,2
1,67,20160908,5,4051,3
1,67,20160223,6,1023,1
1,67,20161111,6,4266,1
1,67,20170727,6,4051,4
1,67,20160219,6,1002,2
1,67,20170208,6,1916,1
1,67,20161109,5,1922,1
1,67,20161130,5,1002,2
1,67,20161101,6,1874,1
1,67,20170327,6,1714,1
1,67,20170801,5,4051,1
1,67,20161212,6,1916,1
1,67,20170614,6,1047,3
1,67,20170802,6,1828,2
1,67,20170624,6,1888,2
1,67,20160805,6,4065,1
1,67,20160803,6,8220,2
1,67,20170408,6,1161,2
1,67,20161222,6,4051,3
1,67,20161008,6,4004,2
1,67,20170714,6,1888,2
1,67,20170801,6,4003,2
1,67,20170224,5,4056,1
1,67,20170906,5,4051,1
1,67,20171114,6,4051,7
1,67,20170207,6,1812,1
1,67,20171216,5,1812,1
1,67,20170711,6,1013,1
1,67,20180119,6,4478,1
1,67,20171102,6,1179,1
1,67,20170901,6,4270,1
1,67,20171122,6,1812,3
1,67,,6,1812,2
1,67,20180124,6,7185,1
1,67,20180219,6,4270,1
1,67,20171019,6,7219,1
1,67,20180215,5,1891,1
1,67,20180207,5,4051,1
1,67,20180220,6,4080,1
1,67,,6,1198,5
1,67,20170222,1,4003,1
1,88,20131212,6,1064,1
1,88,20140722,6,1030,1
1,88,20150220,6,1989,1
1,88,20151020,5,4003,1
1,88,20150512,5,1022,1
1,88,20170130,5,882,1
1,88,20180205,6,1812,1
1,67,20120515,6,1066,1
1,67,20120713,6,1023,1
1,67,20130528,6,1722,1
1,67,20130710,5,1036,1
1,67,20131105,6,1760,1
1,67,20130625,5,3511,1
1,67,20140120,6,1893,1
1,67,20150107,6,1685,1
1,67,20140909,6,1712,1
1,67,20140226,5,1888,1
1,67,20140311,6,1828,2
1,67,20150316,5,3066,2
1,67,20150506,6,4051,1
1,67,20150526,6,1243,1
1,67,20150108,6,1046,1
1,67,20150520,6,1002,4
1,67,20150330,5,1036,2
1,67,20151202,6,3020,1
1,67,20150428,6,4033,1
1,67,20150903,6,1954,2
1,67,20150702,6,1929,1
1,67,20160208,6,1002,1
1,67,20160310,6,4051,5
1,67,20150825,6,4051,4
1,67,20160810,5,1963,2
1,67,20151002,5,3511,1
1,67,20160406,5,1030,1
1,67,20160601,5,1023,1
1,67,20160512,5,1756,1
1,67,20160330,6,4270,1
1,67,20161028,6,1025,1
1,67,20170308,6,4075,1
1,67,20161124,6,1819,3
1,67,20160628,5,8209,1
1,67,20161027,6,4051,4
1,67,20170428,6,1135,1
1,67,20161013,6,4175,1
1,67,20161228,6,1880,1
1,67,20171012,6,4003,1
1,67,20170725,6,1812,1
1,67,20170317,5,4270,1
1,67,20170522,5,1118,1
1,67,20170406,6,4051,3
1,67,20170706,6,1916,1
1,67,20171020,6,4051,4
1,67,20171218,5,1711,1
1,67,20171009,5,1274,1
1,67,20130502,5,4071,1
1,67,20140129,6,1874,1
1,67,20140116,6,4063,1
1,67,20150729,6,4457,1
1,67,20150314,6,4270,1
1,67,20150611,5,1880,1
1,67,20160308,6,4339,1
1,67,20160729,6,4051,2
1,67,20160830,5,1023,1
1,67,20120201,6,444,1
1,67,20120228,6,1678,1
1,67,20120621,6,113,1
1,67,20130118,6,1023,1
1,67,20121113,6,1046,1
1,67,20130220,6,1828,1
1,67,,6,1711,5
1,67,20121130,6,1963,2
1,67,20130617,6,1161,1
1,67,20121024,6,1819,1
1,67,,6,1156,30
1,67,20130308,6,1797,1
1,67,20120925,6,1985,3
1,67,20130808,6,1812,1
1,67,20130712,6,1002,1
1,67,20131016,6,471,1
1,67,20130424,6,1812,1
1,67,20130412,6,636,1
1,67,20130326,6,1985,1
1,67,20130725,5,1161,1
1,67,20140307,6,1875,1
1,67,20140402,6,1888,2
1,67,20131005,6,1722,1
1,67,20130912,5,1950,1
1,67,20130924,5,4098,1
1,67,20131129,5,1022,1
1,67,20140506,6,1736,1
1,67,20140826,6,1812,2
1,67,20140520,6,1985,5
1,67,20140709,6,1982,1
1,67,20140725,6,1173,1
1,67,20141002,6,1240,1
1,67,20150320,6,3066,1
1,67,,6,4051,425
1,67,20150121,5,4065,1
1,67,20160323,5,1047,1
1,67,20150914,6,4003,2
1,67,20160120,6,4051,3
1,67,20141222,6,1161,1
1,67,20150313,6,4051,2
1,67,20150626,6,1028,1
1,67,20150312,6,1760,1
1,67,20150603,6,1137,1
1,67,20150910,6,4051,3
1,67,20150304,5,4043,1
1,67,20151204,6,4073,1
1,67,20151210,6,4051,5
1,67,20150704,6,1002,2
1,67,20150723,6,1027,3
1,67,20150723,6,1839,1
1,67,20160412,6,1002,4
1,67,20150708,6,1888,1
1,67,20161104,6,4051,3
1,67,20160423,6,1161,1
1,67,20160115,6,1812,1
1,67,20160328,6,1760,1
1,67,20160428,5,1252,2
1,67,20160520,6,4051,1
1,67,20160104,6,1022,1
1,67,20160930,6,1760,1
1,67,20161103,6,1888,2
1,67,20161209,6,4051,4
1,67,20160901,5,1986,1
1,67,20160613,6,4068,1
1,67,20160308,6,4051,2
1,67,20160608,6,8209,1
1,67,20160701,5,4270,1
1,67,20170202,5,4051,2
1,67,20160725,6,3511,1
1,67,20180131,6,7185,2
1,67,20160818,6,1023,3
1,67,20170530,6,1279,1
1,67,20170601,6,1279,1
1,67,20170215,6,4051,2
1,67,20161219,6,1064,1
1,67,20161130,6,1002,1
1,67,20170308,6,4051,2
1,67,20171019,6,4051,3
1,67,,6,4478,4
1,67,20170113,6,4051,3
1,67,20170713,6,1013,1
1,67,20170804,6,1161,1
1,67,20170721,6,4051,5
1,67,20180119,6,4051,2
1,67,20170612,6,4051,4
1,67,20180119,6,1030,1
1,67,20170512,6,4056,1
1,67,20180206,6,4003,1
1,67,20180301,6,1812,1
