depto,ciudad,fecha,demografia,vendedor,cantidad
3,1,20150404,2,1309,1
3,1,20170731,2,1309,1
3,1,20160511,2,1309,2
3,1,20170311,2,1309,2
3,1,20170618,2,1309,1
3,3,20161122,2,1309,1
3,3,20161130,2,1309,1
3,1,20130504,2,1309,1
3,2,20170812,2,1309,1
3,1,20141115,2,1309,1
3,1,20141217,2,1309,1
3,1,20161102,2,1309,1
3,1,20160827,2,1309,1
3,10,20170223,2,1309,1
3,1,20141206,2,1309,2
3,1,20120918,2,1309,2
3,1,20150916,2,1309,1
3,1,20160429,2,1309,2
3,1,20170516,2,1309,1
3,1,20160622,2,1309,1
3,1,20160623,2,1309,1
3,1,20140804,2,1309,2
3,1,20160808,2,1309,1
3,1,20121013,2,1309,1
3,1,20131005,2,1309,1
3,1,20150307,2,1309,1
3,1,20151009,2,1309,1
3,1,20160509,2,1309,1
3,1,20160227,2,1309,1
3,1,20170607,2,1309,2
3,3,20131230,2,1309,1
3,1,20160114,2,1309,1
3,1,20170907,2,1309,1
3,1,20141127,2,1309,1
3,1,20161108,2,1309,1
3,1,20171013,2,1309,2
3,1,20160802,2,1309,1
1,74,20130822,2,1309,1
3,1,20140917,2,1309,1
3,1,20150911,2,1309,1
3,1,20170813,2,1309,1
3,1,20170610,2,1309,1
3,1,20150604,2,1309,1
3,2,20120831,2,1309,3
3,1,20161227,2,1309,1
3,1,20160607,2,1309,1
3,1,20160901,2,1309,1
3,2,20160617,2,1309,1
1,74,20170912,2,1309,1
3,1,20160910,2,1309,1
3,1,20171123,2,1309,1
3,1,20150718,2,1309,1
3,1,20170126,2,1309,1
3,1,20151007,2,1309,1
3,1,20150519,2,1309,1
3,1,20170305,2,1309,1
3,1,20160925,2,1309,1
3,2,20171114,2,1309,1
3,1,20160708,2,1309,1
3,1,20160209,2,1309,1
3,1,20150319,2,1309,1
3,1,20140823,2,1309,2
3,1,20141101,2,1309,1
3,1,20150429,2,1309,1
3,1,20160312,2,1309,1
3,1,20161012,2,1309,2
3,1,20170407,2,1309,1
1,74,20141101,2,1309,1
3,2,20170725,2,1309,2
3,2,20171019,2,1309,1
3,1,20160929,2,1309,1
3,1,20161022,2,1309,1
3,1,20171007,2,1309,1
3,1,20120831,2,1309,1
3,1,20130601,2,1309,2
3,1,20121010,2,1309,3
3,1,20151021,2,1309,1
3,1,20150811,2,1309,1
3,1,20150814,2,1309,1
3,1,20170303,2,1309,1
1,74,,2,1309,1
3,2,20171023,2,1309,3
3,1,20160707,2,1309,1
3,10,20170922,2,1309,1
3,1,20171012,2,1309,1
3,1,20171024,2,1309,1
3,1,20170113,2,1309,1
1,74,20170923,2,1309,1
3,1,20160609,2,1309,1
3,1,20170621,2,1309,1
1,74,20171210,2,1309,1
3,1,20150318,2,1309,1
3,1,20160205,2,1309,1
3,1,20170131,2,1309,2
3,1,20131021,2,1309,1
3,1,20190429,2,1309,1
3,3,20170810,2,1309,3
3,2,20170404,2,1309,1
3,1,20171020,2,1309,1
3,10,20160215,2,1309,5
3,1,20170513,2,1309,2
3,1,20160103,2,1309,1
3,1,20130719,2,1309,1
3,1,20160810,2,1309,3
3,1,20161029,2,1309,1
3,1,20160307,2,1309,1
3,1,20171219,2,1309,1
3,1,20180210,2,1309,1
3,1,20151122,2,1309,1
1,74,20160708,2,1309,2
3,2,20171018,2,1309,1
3,1,20170729,2,1309,2
3,1,20130507,3,1309,1
3,1,20130703,3,1309,1
3,1,20150304,3,1309,2
3,1,20150914,3,1309,1
3,1,20150916,3,1309,1
3,1,20120921,3,1309,1
3,2,20130226,3,1309,2
3,1,20131217,3,1309,1
3,1,20160421,3,1309,1
3,1,20170516,3,1309,1
3,1,20161025,3,1309,4
3,2,20171215,3,1309,1
3,1,20141101,3,1309,4
3,2,20151104,3,1309,1
3,2,20141104,3,1309,1
3,2,20141029,3,1309,1
3,2,20130225,3,1309,1
3,1,20151129,3,1309,1
3,2,20150110,3,1309,2
3,2,20161028,3,1309,1
3,3,20170830,3,1309,1
3,1,20150509,3,1309,1
3,1,20180124,3,1309,1
3,1,20120831,3,1309,6
3,1,20160219,3,1309,1
3,1,20161213,3,1309,2
3,1,20151028,3,1309,1
3,1,20171104,3,1309,2
3,2,20170724,3,1309,1
3,2,20130817,3,1309,3
3,2,20160901,3,1309,2
3,1,20160819,3,1309,2
3,1,20130211,3,1309,1
3,2,20160621,3,1309,1
3,1,20170113,3,1309,1
3,2,20151130,3,1309,1
3,1,20120512,3,1309,1
3,1,20121023,3,1309,1
3,2,20160301,3,1309,1
3,2,20150203,3,1309,1
3,1,20161210,3,1309,1
3,2,20160409,3,1309,1
3,1,20121103,3,1309,1
3,1,20171027,3,1309,1
3,1,20151202,3,1309,2
3,1,20170718,3,1309,1
3,2,20141020,3,1309,3
3,2,20130527,3,1309,1
3,2,20160820,3,1309,1
3,1,20150202,3,1309,1
3,2,20161118,3,1309,1
3,3,20150421,3,1309,1
3,1,20120903,3,1309,1
3,1,20130730,3,1309,2
3,1,20160611,3,1309,1
3,2,20151211,3,1309,1
3,1,20170114,3,1309,1
3,1,20170224,3,1309,1
3,1,20170522,3,1309,1
3,1,20161110,3,1309,3
3,1,20161217,3,1309,1
3,1,20150110,3,1309,1
3,1,20160210,3,1309,1
3,1,20160429,3,1309,1
3,2,20150122,3,1309,1
3,2,20160415,3,1309,1
3,1,20121004,3,1309,1
3,1,20141216,3,1309,1
3,1,20150812,3,1309,1
3,1,20130319,3,1309,2
3,2,20151202,3,1309,1
3,2,20170511,3,1309,1
3,1,20151203,3,1309,2
3,1,20150420,3,1309,2
3,1,20160526,3,1309,1
3,4,20160702,3,1309,1
1,65,20161130,3,1309,1
1,91,20150910,3,1309,1
3,1,20140906,3,1309,1
3,1,20130710,3,1309,1
3,2,20150926,3,1309,2
3,1,20170227,3,1309,1
3,1,20170519,3,1309,1
3,1,20151029,3,1309,1
3,2,20140412,3,1309,1
3,1,20170117,3,1309,1
3,1,20160409,3,1309,1
3,1,20160723,3,1309,2
3,1,20170121,3,1309,2
3,1,20161105,3,1309,1
3,1,20170628,3,1309,1
3,2,20170505,3,1309,2
3,2,20160312,3,1309,1
3,2,20121207,3,1309,1
3,2,20160512,3,1309,1
3,1,20130219,3,1309,1
3,1,20130601,3,1309,2
3,1,20150806,3,1309,1
3,2,20161119,3,1309,1
3,2,20170526,3,1309,1
3,1,20140211,3,1309,1
3,1,20140909,3,1309,2
3,1,20170223,3,1309,1
3,1,20130419,3,1309,1
3,1,20140110,3,1309,1
3,2,20171122,3,1309,1
3,1,20170228,3,1309,2
1,20,20150910,3,1309,1
3,2,20170510,3,1309,1
3,1,20170111,3,1309,3
3,1,20150912,3,1309,1
3,1,20171004,3,1309,1
3,1,20180104,3,1309,2
3,2,20121030,3,1309,1
3,1,20170930,3,1309,1
3,2,20130122,3,1309,1
3,1,20140820,3,1309,1
3,1,20121008,3,1309,1
3,2,20180219,3,1309,1
3,2,20131121,3,1309,1
3,3,20151128,3,1309,1
3,3,20160809,3,1309,1
3,2,20170311,3,1309,1
3,3,20160531,3,1309,2
3,3,20170907,3,1309,3
1,80,20151204,3,1309,2
3,1,20130228,3,1309,1
3,1,20140301,3,1309,1
3,1,20161228,3,1309,1
3,1,20170818,3,1309,2
3,1,20131026,3,1309,1
3,1,20171214,3,1309,1
3,2,20141219,3,1309,1
3,2,20180124,3,1309,1
3,1,20130829,3,1309,1
3,2,20160203,3,1309,1
3,2,20170524,3,1309,1
3,2,20161027,3,1309,1
3,1,20160903,3,1309,1
3,1,20160926,3,1309,1
1,65,20160717,3,1309,1
1,80,20151117,3,1309,1
3,1,20160503,3,1309,1
3,2,20161010,3,1309,1
3,2,20130601,3,1309,2
3,2,20140711,3,1309,1
3,1,20170524,3,1309,1
3,1,20150911,3,1309,1
3,2,20150820,3,1309,1
3,1,20160831,3,1309,1
3,1,20171218,3,1309,1
3,2,20180206,3,1309,1
3,2,20170104,3,1309,1
3,2,20160407,3,1309,1
3,2,20160915,3,1309,3
3,1,20150416,3,1309,1
1,65,20160727,3,1309,1
3,2,20150925,3,1309,1
3,2,20160425,3,1309,1
3,1,20161123,3,1309,1
