depto,ciudad,fecha,demografia,vendedor,cantidad
1,40,2010726,4,102,1
1,40,20141017,4,102,1
1,40,20171120,4,102,1
1,40,20140317,4,102,1
1,40,20121002,4,102,1
1,40,20140521,4,102,1
1,40,20140519,4,102,1
1,40,20120814,4,102,2
2,65,20130604,4,102,1
1,40,20120815,4,102,1
1,40,20130906,4,102,1
1,43,20140730,4,102,1
1,40,20140108,4,102,1
1,43,20121019,4,102,1
1,43,20120417,4,102,1
1,41,20120821,4,102,1
1,43,20120308,4,102,1
1,43,20140904,4,102,1
1,43,20121106,4,102,1
1,46,20131231,4,102,1
1,46,20141020,4,102,1
1,46,20140521,4,102,1
1,52,20130607,4,102,1
1,52,20121107,4,102,1
1,52,20130805,4,102,1
1,45,20131016,4,102,1
1,45,20140102,4,102,1
1,46,20150117,4,102,1
1,45,20120904,4,102,1
1,52,20140109,4,102,1
2,30,20130207,4,102,1
2,30,20131003,4,102,2
2,30,20151103,4,102,1
2,30,20131030,4,102,1
2,30,20121011,4,102,1
1,45,20131112,4,102,1
1,45,20121114,4,102,1
1,48,20140906,4,102,1
1,48,20120810,4,102,2
1,48,20130227,4,102,1
1,51,20131209,4,102,1
1,51,20120921,4,102,2
1,51,20140224,4,102,1
2,30,20130906,4,102,1
2,30,20160718,4,102,1
2,31,20120705,4,102,1
2,31,20130322,4,102,1
2,31,20120927,4,102,1
1,50,20130326,4,102,1
1,50,20120724,4,102,1
1,50,20120905,4,102,1
1,50,20130905,4,102,1
2,31,20131029,4,102,1
1,58,20121212,4,102,1
1,41,20130705,4,102,1
1,41,20160310,4,102,1
1,41,20130404,4,102,2
1,41,20140725,4,102,2
1,50,20130628,4,102,1
1,41,20130820,4,102,2
1,41,20130312,4,102,1
1,41,20131015,4,102,1
1,41,20140718,4,102,1
1,41,20130626,4,102,1
1,41,20121207,4,102,1
1,41,20140711,4,102,1
2,65,20120621,4,102,1
2,65,20130518,4,102,1
2,65,20131219,4,102,1
2,65,20130313,4,102,1
2,65,20130920,4,102,1
1,52,20140423,4,102,1
1,30,20120815,4,102,1
1,30,20130923,4,102,1
2,31,20130619,4,102,1
1,40,20140918,4,102,1
1,58,20140618,4,102,2
1,58,20140918,4,102,1
1,34,20140728,4,102,1
2,21,20140603,4,102,1
2,65,20140827,4,102,1
2,65,20120727,4,102,1
2,65,20130115,4,102,1
2,65,20140703,4,102,1
1,53,,4,102,1
2,21,20131108,4,102,1
2,21,20130618,4,102,1
2,21,20120614,4,102,1
2,65,20131211,4,102,1
2,22,20120327,4,102,1
2,22,20120412,4,102,1
2,22,20121204,4,102,1
2,22,20140626,4,102,1
1,63,20120115,4,102,1
1,63,20140607,4,102,1
1,40,20120911,4,102,1
1,40,20120608,4,102,2
1,40,20120511,4,102,1
1,40,20130410,4,102,3
1,40,20130801,4,102,1
1,40,20151001,4,102,1
1,40,20120224,4,102,1
1,40,20130802,4,102,1
1,40,20140715,4,102,1
1,40,20141106,4,102,1
1,52,20120911,4,102,2
1,41,20130427,4,102,1
1,41,20130925,4,102,1
1,41,20121123,4,102,1
1,41,20130422,4,102,1
1,41,20140806,4,102,1
1,41,20140703,4,102,1
1,41,20140910,4,102,2
1,40,20120917,4,102,2
1,40,20170331,4,102,1
1,40,20130103,4,102,1
1,40,20130326,4,102,2
1,40,20141128,4,102,1
1,40,20130814,4,102,1
1,40,20120806,4,102,1
1,40,20130205,4,102,1
1,40,20131107,4,102,3
1,40,20120412,4,102,1
1,40,20140805,4,102,2
3,6,,4,102,1
1,40,20121218,4,102,1
1,40,20130826,4,102,2
1,43,20130912,4,102,1
1,43,20120926,4,102,1
1,43,20121218,4,102,1
1,43,20120110,4,102,1
1,41,20120831,4,102,1
1,41,20130403,4,102,1
1,43,20141017,4,102,1
1,46,20140613,4,102,1
1,46,20140211,4,102,1
1,52,20140723,4,102,3
1,45,20140729,4,102,1
1,45,20180119,4,102,1
1,45,20131212,4,102,2
1,46,20130426,4,102,1
1,46,20130320,4,102,1
1,45,20140715,4,102,1
2,30,20121116,4,102,1
2,30,20140903,4,102,1
2,30,20121010,4,102,1
2,30,20140626,4,102,1
2,30,20120813,4,102,2
2,30,20130814,4,102,2
2,30,20130627,4,102,1
2,30,20121105,4,102,1
2,30,20131216,4,102,1
2,30,20130130,4,102,1
2,30,20140714,4,102,1
1,45,20121026,4,102,1
1,45,20131007,4,102,1
1,45,20140520,4,102,1
1,45,20121008,4,102,1
1,45,20121109,4,102,1
1,51,20130507,4,102,1
1,51,20130722,4,102,1
1,51,20131204,4,102,1
1,44,20140319,4,102,1
1,58,20120706,4,102,1
2,30,20130924,4,102,1
2,30,20140805,4,102,1
2,31,20130311,4,102,1
2,31,20130624,4,102,1
2,31,20130628,4,102,2
2,31,20140729,4,102,1
2,31,20120719,4,102,1
2,31,20120903,4,102,2
2,31,20121025,4,102,3
1,50,20121005,4,102,1
1,50,20140805,4,102,1
1,51,20140523,4,102,1
1,41,20130917,4,102,1
1,41,20131002,4,102,1
1,41,20130225,4,102,1
1,50,20130306,4,102,1
1,41,20120615,4,102,1
2,65,20120906,4,102,1
2,65,20120915,4,102,1
2,65,20131205,4,102,1
2,65,20130621,4,102,1
1,52,20150811,4,102,1
1,30,20121220,4,102,1
2,31,20130402,4,102,1
2,31,20130622,4,102,2
2,31,20140620,4,102,1
1,40,20140222,4,102,1
2,31,20130724,4,102,2
1,40,20130401,4,102,1
1,40,20130201,4,102,1
1,40,20140211,4,102,1
1,58,20130828,4,102,1
1,58,20130613,4,102,1
1,58,20130708,4,102,1
1,63,20130315,4,102,1
1,39,20131230,4,102,1
1,63,20140414,4,102,1
2,65,20131101,4,102,1
2,65,20140724,4,102,1
1,40,20130521,4,102,1
1,50,20121130,4,102,1
1,50,20130126,4,102,1
2,65,20130828,4,102,1
2,65,20131129,4,102,1
1,39,20130917,4,102,1
2,21,20120904,4,102,1
2,65,20120303,4,102,1
2,22,20130311,4,102,1
2,22,20130411,4,102,1
2,22,20130518,4,102,1
1,40,20121005,4,102,1
1,40,20131113,4,102,1
1,43,20130628,4,102,1
5,2,20120606,4,102,1
1,40,20120524,4,102,2
1,40,20120726,4,102,4
1,40,20180111,4,102,1
1,40,20140923,4,102,1
1,40,20140131,4,102,1
1,40,20140819,4,102,2
1,40,20120330,4,102,1
1,40,20130218,4,102,1
1,40,20130716,4,102,3
1,40,20130504,4,102,2
1,40,20130919,4,102,2
1,40,20131209,4,102,1
1,40,20140605,4,102,1
1,40,20140710,4,102,1
1,40,20121017,4,102,1
1,40,20131011,4,102,2
1,40,20130514,4,102,1
1,52,20180226,4,102,1
1,41,20121018,4,102,1
1,41,20130502,4,102,1
1,41,20130322,4,102,1
1,41,20131021,4,102,2
1,40,20121121,4,102,3
