fecha,plan,sede,depto,ciudad,vendedor,cantidad
20120708,321,5,4,1,750,1
20120712,321,5,4,1,2279,1
20120711,321,5,4,3,2537,1
20120712,321,5,4,1,2538,2
20120712,321,5,4,10,3110,1
20120717,321,5,4,1,750,1
20120716,321,5,4,1,2537,2
20120716,321,5,4,4,2006,1
20120717,321,5,4,1,2298,1
20120718,321,5,4,1,2164,10
20120718,321,5,4,1,3110,7
20120722,321,5,1,41,3110,2
20120727,321,5,4,1,2006,3
20120726,321,5,4,1,2164,3
20120726,321,5,4,10,2536,1
20120724,321,5,4,1,2017,1
20120822,321,5,4,4,2552,5
20120512,321,5,4,1,750,1
20120516,321,5,4,1,750,1
20120515,321,5,4,3,2006,1
20120525,321,5,4,1,2017,1
20120824,321,5,4,9,2006,1
20120824,321,5,4,1,2552,1
20120825,321,5,4,1,2017,1
20120821,321,5,4,1,2017,2
20120822,321,5,4,1,2555,2
20120614,321,5,4,1,2279,1
20120612,321,5,4,7,2279,1
20120612,321,5,4,3,2540,1
20120623,321,5,4,1,49,6
20120622,321,5,4,10,3110,3
20120627,321,5,4,4,750,1
20120629,321,5,1,78,750,1
20120628,321,5,4,4,2542,1
20120628,321,5,4,3,2537,1
20120627,321,5,4,3,2534,1
20120626,321,5,4,3,2533,1
20120630,321,5,4,9,3110,3
20120628,321,5,4,1,2017,1
20120704,321,5,4,4,2549,3
20120704,321,5,4,1,2528,1
20120806,321,5,4,1,2298,2
20120729,321,5,4,8,2017,1
20120803,321,5,4,4,2554,1
20120809,321,5,4,4,2553,1
20120811,321,5,4,1,2298,1
20120812,321,5,4,4,2164,4
20120811,321,5,4,1,2017,1
20120812,321,5,4,7,2017,2
20120815,321,5,4,7,2006,1
20120815,321,5,4,1,2541,1
20120830,321,5,4,1,2298,1
20120831,321,5,4,4,2164,6
20120829,321,5,4,1,2536,1
20120830,321,5,4,1,2558,2
20120829,321,5,4,1,2164,1
20120902,321,5,4,1,750,2
20120905,321,5,4,1,2557,2
20120907,321,5,4,1,2552,3
20120906,321,5,4,1,2164,2
20120904,321,5,4,1,2017,1
20120906,321,5,4,6,3110,1
20120904,321,5,4,1,3110,3
20120911,321,5,4,1,750,1
20120913,321,5,4,1,2564,1
20120915,321,5,4,1,2564,2
20120913,321,5,1,53,2563,1
20120913,321,5,4,4,2556,1
20120913,321,5,4,1,2556,1
20120922,321,5,4,1,2017,1
20121004,321,5,4,2,2541,1
20121002,321,5,4,1,2298,1
20121002,321,5,4,5,2298,1
20121008,321,5,4,1,2017,2
20121003,321,5,4,1,3110,1
20121003,321,5,4,5,3110,1
20121010,321,5,4,1,750,1
20121011,321,5,4,1,2559,2
20121020,321,5,4,1,2559,1
20121020,321,5,4,1,2564,1
20121021,321,5,4,1,3110,1
20121020,321,5,4,1,2541,1
20121017,321,5,4,6,2017,1
20121019,321,5,4,6,2017,1
20121026,321,5,4,6,2006,5
20120307,143,5,4,1,49,3
20120402,143,5,4,1,2298,3
20120413,143,5,4,1,2164,2
20120419,143,5,4,1,2164,2
20120423,143,5,4,1,49,5
20120502,143,5,4,5,49,3
20120111,143,5,4,1,49,1
20120112,143,5,1,78,49,1
20120120,143,5,4,1,2164,1
20120123,143,5,4,1,2298,2
20120123,143,5,4,1,49,2
20120123,143,5,1,78,49,2
20120126,143,5,4,5,2298,2
20120129,143,5,4,1,2164,4
20120125,143,5,4,1,2164,1
20120203,143,5,4,1,2298,1
20120218,143,5,4,2,2298,1
20120225,143,5,4,1,49,1
20120301,143,5,4,1,2164,3
20120516,143,5,4,1,2164,1
20120516,143,5,4,1,49,5
20120517,143,5,4,1,49,5
20120525,143,5,4,1,2164,2
20120111,144,5,4,1,49,1
20120526,144,5,4,1,2164,2
20170709,193,5,4,1,2848,2
20170716,193,5,4,1,2847,1
20170729,193,5,4,6,2848,2
20170726,193,5,4,1,2847,1
20170801,193,5,4,1,2848,2
20170808,193,5,4,1,750,1
20170814,193,5,4,1,2847,3
20170827,193,5,4,1,2847,8
20170830,193,5,4,5,2847,1
20170928,193,5,4,1,2847,2
20171210,193,5,4,1,2861,2
20171214,193,5,4,1,2859,1
20170623,194,5,4,1,7699,1
20170803,194,5,4,1,2847,1
20170904,195,5,4,1,2848,1
20180209,203,5,4,1,2861,1
20120309,321,5,1,87,3110,1
20120314,321,5,4,2,2006,3
20120323,321,5,4,8,2017,1
20120402,321,5,4,1,2017,8
20120403,321,5,4,2,2006,2
20120402,321,5,4,2,2525,1
20120326,321,5,4,2,2006,1
20120410,321,5,4,1,750,1
20120411,321,5,4,1,750,2
20120412,321,5,4,2,2525,2
20120411,321,5,4,1,2017,2
20120418,321,5,4,2,2521,1
20120419,321,5,4,3,2017,3
20120429,321,5,4,1,2017,1
20120427,321,5,4,3,2017,4
20120423,321,5,4,1,2511,1
20120505,321,5,4,1,2006,1
20120508,321,5,4,1,750,1
20120530,321,5,4,1,2006,1
20120601,321,5,4,3,2006,2
20120531,321,5,4,1,3110,3
20120529,321,5,4,4,3110,1
20120529,321,5,4,1,2533,1
20120602,321,5,4,5,2164,1
20120605,321,5,4,3,2533,1
20120608,321,5,4,1,2298,1
20120609,321,5,4,1,2298,2
20120610,321,5,4,1,2017,3
20120608,321,5,4,1,3110,5
20120106,321,5,4,1,3110,1
20120112,321,5,4,1,2006,1
20120113,321,5,4,1,2501,1
20120118,321,5,4,1,750,1
20120123,321,5,4,5,2504,1
20120116,321,5,4,1,2017,1
20120120,321,5,4,1,2017,3
20120116,321,5,4,1,2469,3
20120126,321,5,4,1,750,1
20120129,321,5,4,1,3110,1
20120129,321,5,4,1,750,2
20120131,321,5,4,1,750,1
20120203,321,5,4,1,2511,1
20120201,321,5,4,5,2502,2
20120203,321,5,4,5,2512,1
20120209,321,5,4,5,2502,1
20120206,321,5,4,1,2006,1
20120218,321,5,4,1,2511,2
20120215,321,5,4,1,2518,1
20120216,321,5,4,2,2017,1
20120224,321,5,4,2,750,1
20120221,321,5,4,1,3110,1
20120225,321,5,4,8,3110,2
20120302,321,5,4,1,750,1
20120302,321,5,4,1,2006,3
20120301,321,5,4,2,2017,1
20120301,321,5,4,4,3110,1
20120706,321,5,4,4,2006,1
20120707,321,5,4,3,2536,1
20120706,321,5,4,3,2538,2
20120712,321,5,4,1,2006,1
20120710,321,5,4,5,2298,2
20120717,321,5,4,1,2006,2
20120718,321,5,4,10,2541,1
20120716,321,5,4,10,2538,2
20120715,321,5,4,2,2529,1
20120720,321,5,4,2,2456,1
20120724,321,5,4,3,2537,1
20120724,321,5,4,2,2529,1
20120727,321,5,4,1,2528,1
20120726,321,5,4,1,2298,2
20120510,321,5,4,6,2006,2
20120511,321,5,4,1,2533,1
20120523,321,5,4,8,750,5
20120523,321,5,4,5,2533,1
20120525,321,5,4,1,2529,1
20120525,321,5,4,1,2511,1
20120526,321,5,4,6,2017,1
20120822,321,5,4,3,2006,1
20120821,321,5,4,4,3110,1
20120825,321,5,4,1,2555,1
20120614,321,5,4,3,2537,1
20120612,321,5,4,1,2164,2
20120613,321,5,4,2,2017,1
20120622,321,5,4,3,2536,1
20120619,321,5,4,3,2537,2
20120620,321,5,4,3,2537,1
20120623,321,5,4,3,2533,1
20120623,321,5,4,5,3110,1
20120629,321,5,4,3,2537,1
20120628,321,5,4,1,2164,5
20120627,321,5,4,1,2164,2
